|№|Տարի|Русский|Հայերեն|
|---|---|---|---|
|1|1981|**Кикос и Киракос**<br>Детская опера<br>На основе народных песен<br><br>Либретто:<ul><li>Александр Овсепян</li></ul><br>Категория: Опера|**Կիկոս ու Կիրակոսը**<br>Մանկական օպերա<br>Ժողովրդական երգերի հիման վրա<br><br>Լիբրետո:<ul><li>Ալեկսանդր Հովսեփյան</li></ul><br>Կատեգորիա: Օպերա|
|2|1994|**Христос**<br>Опера<br>Либретто на основе четырех Евангелий.<br><br>Либретто:<ul><li>Давид Сакоян</li></ul><br>Категория: Опера|**Քրիստոս**<br>Օպերա<br>Շորս Ավետարանների հիման վրա։<br><br>Լիբրետո:<ul><li>Դավիթ Սաքոյան</li></ul><br>Կատեգորիա: Օպերա|
|3|1996|**Без заглавия**<br>Опера-оратория<br>Либретто по пьесе Александра Овсепяна<br><br>Либретто:<ul><li>Давид Сакоян</li></ul><br>Категория: Опера|**Անվերնագիր**<br>Օպերա-օրատորիա<br>Լիբրետոն ըստ Ալեկսանդր Հովսեփյանի թափերգության<br><br>Լիբրետո:<ul><li>Դավիթ Սաքոյան</li></ul><br>Կատեգորիա: Օպերա|
|4|1997|**Рипсимэ**<br>Опера<br>Либретто по Агафангелу<br><br>Либретто:<ul><li>Давид Сакоян</li></ul><br>Категория: Опера|**Հռիփսիմէ**<br>Օպերա<br>Լիբրետոն ըստ Ագաթանգեղոսի<br><br>Լիբրետո:<ul><li>Դավիթ Սաքոյան</li></ul><br>Կատեգորիա: Օպերա|
|5|2008|**Житие дураков**<br>Камерная опера<br>Либретто по сказкам Ованнеса Туманяна<br><br>Либретто:<ul><li>Седрак Ерканян</li></ul><br>Категория: Опера|**Վարք հիմարաց**<br>Կամերային օպերա<br>Լիբրետոն ըստ Հովհաննես Թումանյանի հեքիաթների<br><br>Լիբրետո:<ul><li>Սեդրակ Երկանյան</li></ul><br>Կատեգորիա: Օպերա|
|6|2012|**У весельчака веселья не убудет**<br>Камерная опера<br>Либретто по сказке Ованнеса Туманяна<br><br>Либретто:<ul><li>Седрак Ерканян</li></ul><br>Категория: Опера|**Քեֆ անողին քեֆ չի պակսիլ**<br>Կամերային օպերա<br>Լիբրետոն ըստ Հովհաննես Թումանյանի հեքիաթի<br><br>Լիբրետո:<ul><li>Սեդրակ Երկանյան</li></ul><br>Կատեգորիա: Օպերա|
|7|1999|**Рипсимэ**<br>Балет<br>Либретто по Агафангелу<br><br>Либретто:<ul><li>Давид Сакоян</li><li>Максим Мартиросян</li></ul><br>Категория: Балет|**Հռիփսիմէ**<br>Բալետ<br>Լիբրետոն ըստ Ագաթանգեղոսի<br><br>Լիբրետո:<ul><li>Դավիթ Սաքոյան</li><li>Մաքսիմ Մարտիրոսյան</li></ul><br>Կատեգորիա: Բալետ|
|8|2013|**Мудрые танцы**<br>Балет<br>Без либретто<br>Категория: Балет|**Իմաստուն պարեր**<br>Բալետ<br>Ան լիբրետո<br>Կատեգորիա: Բալետ|
|9|1997|**Симфония №1**<br>Симфонический оркестр, солисты и хор<br>На основе 32-го псалма (в русской версии Псалтири - 31-го псалма)<br>Категория: Симфония|**Սիմֆոնիա №1**<br>Սիմֆոնիկ նվագախումբ, մեչերգիչներ և երգչախումբ<br>№32 Սաղմոսի հիման վրա<br>Կատեգորիա: Սիմֆոնիա|
